Era,Category,Fraction of era's papers
2008-2009,Any University Affiliation,0.9148936170212766
2008-2009,Elite University Affiliation (2018),0.6595744680851063
2008-2009,Non-NA University Affiliation,0.2553191489361702
2008-2009,AGENCIES,0.48936170212765956
2008-2009,MILITARY,0.2127659574468085
2008-2009,NONPROFIT FUNDER,0.0425531914893617
2008-2009,RESEARCH INSTITUTE,0.2553191489361702
2008-2009,TECH COMPANY,0.44680851063829785
2008-2009,BIG TECH,0.2127659574468085
2018-2019,Any University Affiliation,0.8113207547169812
2018-2019,Elite University Affiliation (2018),0.7169811320754716
2018-2019,Non-NA University Affiliation,0.3018867924528302
2018-2019,AGENCIES,0.4339622641509434
2018-2019,MILITARY,0.24528301886792453
2018-2019,NONPROFIT FUNDER,0.18867924528301888
2018-2019,RESEARCH INSTITUTE,0.3584905660377358
2018-2019,TECH COMPANY,0.7924528301886793
2018-2019,BIG TECH,0.660377358490566
